172.24.0.1 - - [29/Jul/2020:13:16:41 +0300] "GET /public/installation/template/images/joomla.png HTTP/1.1" 200 9361 "http://localhost:8087/public/installation/index.php" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0"
172.24.0.1 - - [29/Jul/2020:13:16:41 +0300] "GET /public/media/jui/img/glyphicons-halflings-white.png HTTP/1.1" 200 9029 "http://localhost:8087/public/media/jui/css/bootstrap.min.css?562b9d711eb08040b271c520e746c9eb" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0"
172.24.0.1 - - [29/Jul/2020:13:16:42 +0300] "GET /public/installation/favicon.ico HTTP/1.1" 200 2319 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0"
172.24.0.1 - - [29/Jul/2020:13:16:42 +0300] "GET /public/media/jui/css/chosen-sprite.png HTTP/1.1" 200 822 "http://localhost:8087/public/media/jui/css/chosen.css?562b9d711eb08040b271c520e746c9eb" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0"
127.0.0.1 - - [29/Jul/2020:13:16:47 +0300] "OPTIONS * HTTP/1.0" 200 126 "-" "Apache/2.4.38 (Debian) PHP/7.4.8 (internal dummy connection)"
127.0.0.1 - - [29/Jul/2020:13:16:48 +0300] "OPTIONS * HTTP/1.0" 200 126 "-" "Apache/2.4.38 (Debian) PHP/7.4.8 (internal dummy connection)"
127.0.0.1 - - [29/Jul/2020:13:16:49 +0300] "OPTIONS * HTTP/1.0" 200 126 "-" "Apache/2.4.38 (Debian) PHP/7.4.8 (internal dummy connection)"
172.24.0.1 - - [29/Jul/2020:13:19:36 +0300] "GET /public/media/jui/images/ajax-loader.gif HTTP/1.1" 200 10220 "http://localhost:8087/public/installation/index.php" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0"
172.24.0.1 - - [29/Jul/2020:13:19:36 +0300] "POST /public/installation/index.php HTTP/1.1" 200 435 "http://localhost:8087/public/installation/index.php" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0"
172.24.0.1 - - [29/Jul/2020:13:19:37 +0300] "GET /public/installation/index.php?tmpl=body&view=database HTTP/1.1" 200 1962 "http://localhost:8087/public/installation/index.php" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0"
172.24.0.1 - - [29/Jul/2020:13:19:37 +0300] "GET /public/media/jui/img/glyphicons-halflings.png HTTP/1.1" 200 12887 "http://localhost:8087/public/media/jui/css/bootstrap.min.css?562b9d711eb08040b271c520e746c9eb" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0"
172.24.0.1 - - [29/Jul/2020:13:20:34 +0300] "POST /public/installation/index.php HTTP/1.1" 200 546 "http://localhost:8087/public/installation/index.php" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0"
172.24.0.1 - - [29/Jul/2020:13:20:34 +0300] "GET /public/installation/index.php?tmpl=body&view=database HTTP/1.1" 200 1978 "http://localhost:8087/public/installation/index.php" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0"
172.24.0.1 - - [29/Jul/2020:13:21:42 +0300] "GET /public/installation/index.php HTTP/1.1" 200 5335 "http://localhost:8087/public/installation/index.php" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0"
172.24.0.1 - - [29/Jul/2020:13:22:05 +0300] "POST /public/installation/index.php HTTP/1.1" 200 536 "http://localhost:8087/public/installation/index.php" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0"
172.24.0.1 - - [29/Jul/2020:13:22:05 +0300] "GET /public/installation/index.php?tmpl=body&view=database HTTP/1.1" 200 1988 "http://localhost:8087/public/installation/index.php" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0"
172.24.0.1 - - [29/Jul/2020:13:23:44 +0300] "POST /public/installation/index.php HTTP/1.1" 200 1598 "http://localhost:8087/public/installation/index.php" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0"
